frame,baseline_psnr,baseline_ssim,baseline_mse,finetuned_psnr,finetuned_ssim,finetuned_mse
triplet_00042,35.93676482710932,0.9457079339916837,16.573104858398438,36.72658887337177,0.954168281668844,13.817245483398438
triplet_00043,36.51663003144297,0.9131252099707998,14.50164794921875,37.866846914189395,0.9362729340964786,10.626632690429688
triplet_00044,33.407559175438976,0.8774008779022745,29.67047119140625,34.225917421393255,0.900886181317389,24.574722290039062
triplet_00045,32.73336655333586,0.9315026909714944,34.653228759765625,33.56022678579025,0.9402337702716169,28.645584106445312
triplet_00046,26.796991601754108,0.8588819147425201,135.95062255859375,28.210234160795387,0.8857956141668577,98.18766784667969
triplet_00047,34.81989076142382,0.9529488403172927,21.43341064453125,35.809759477621654,0.9609411339525458,17.064926147460938
triplet_00048,34.17739994392234,0.9658407329482258,24.850799560546875,35.75885007312724,0.9738559910508698,17.266143798828125
triplet_00049,39.35956439419487,0.9748932129912635,7.53570556640625,40.434762047585586,0.9797383730355378,5.8830718994140625
triplet_00050,29.094723009580505,0.8812412387592322,80.09548950195312,30.756201309800687,0.9104790896386946,54.63365173339844
triplet_00051,40.00635211106018,0.9670001060476756,6.4929962158203125,40.611907509035234,0.972643540617695,5.6479339599609375
triplet_00052,33.551964322254506,0.8921699374034199,28.70013427734375,34.85134298541836,0.926822575239499,21.27874755859375
triplet_00053,32.3899873232026,0.8954845000849562,37.50434875488281,33.16852454801439,0.9124864694264119,31.34930419921875
triplet_00054,44.172421519240814,0.9810896435735821,2.4879302978515625,45.53233031341415,0.9864041735849856,1.819061279296875
triplet_00055,33.82831575910055,0.8897598975483147,26.930770874023438,34.41481550685859,0.9065194904820763,23.52874755859375
triplet_00056,33.27782433573401,0.8966578525461029,30.570175170898438,34.238580199005725,0.9122143667719621,24.503173828125
triplet_00057,33.530555195666736,0.8897254746778271,28.841964721679688,34.307652417504215,0.9126273832463525,24.116546630859375
triplet_00058,28.91050617514349,0.875931392414816,83.56602478027344,30.579446159428034,0.9046569345970461,56.903076171875
triplet_00059,31.22812068161434,0.820957804383391,49.008148193359375,31.90413989467775,0.8489287806449264,41.94366455078125
triplet_00060,33.11190344310703,0.9508736046925433,31.760696411132812,34.46252288527533,0.9613413475858827,23.271697998046875
triplet_00061,32.771166961211605,0.9227054163584293,34.35292053222656,33.78729611558298,0.9366447109711091,27.18634033203125
triplet_00062,34.19311885244789,0.9666698725154299,24.761016845703125,35.7369441718992,0.9741931785176351,17.35345458984375
triplet_00063,32.38343513963671,0.8869721824240328,37.56097412109375,33.5010073607219,0.9074875470088277,29.038864135742188
triplet_00064,26.79360081509236,0.8668069305327977,136.0568084716797,28.111229782950815,0.8930545125959072,100.45172119140625
triplet_00065,33.39168591922181,0.9171161271498345,29.77911376953125,34.58459555451211,0.9346930006756194,22.626678466796875
triplet_00066,32.69538993628075,0.8957236406027612,34.95758056640625,33.49678762278519,0.9144072277072284,29.067092895507812
triplet_00067,31.347799014846778,0.8494389952473752,47.67607116699219,32.16462965873972,0.867015144755826,39.50184631347656
triplet_00068,32.806116698638526,0.9001077976892645,34.07757568359375,33.58620025896357,0.9141438541614197,28.474777221679688
triplet_00069,30.983011319541383,0.8288623837085219,51.8536376953125,32.089916791671286,0.8603147856236089,40.187286376953125
triplet_00070,33.236189404677546,0.9325174960519185,30.864654541015625,34.08701209743746,0.9421501908466619,25.373428344726562
triplet_00071,34.41508308002275,0.9410448994671482,23.527297973632812,34.94945920980091,0.9504810756177848,20.80340576171875
